회사명,"수수료
부과기준",기준일자,거래금액,구분,오프라인,HTS,ARS,스마트폰,오프라인.1,HTS.1,ARS.1,스마트폰.1,비고
한화투자증권,/img/sub/ico_pdf.gif,2016/05/30,10만원,변경후,490.0,490.0,190.0,150.0,490.0,490.0,190.0,150.0,0
한화투자증권,/img/sub/ico_pdf.gif,2016/05/30,10만원,변경율,-0.98339,-0.9295,-0.9841,-0.97842,-0.98339,-0.9295,-0.9841,-0.97842,0
현대차증권,/img/sub/ico_xlsx.gif,2009/03/24,10만원,변경전,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
현대차증권,/img/sub/ico_xlsx.gif,2011/11/07,10만원,변경후,498.0,1658.0,248.0,198.0,498.0,1658.0,248.0,198.0,0
현대차증권,/img/sub/ico_xlsx.gif,2011/11/07,10만원,변경율,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
DB금융투자,/img/sub/ico_doc.gif,2014/06/02,10만원,변경전,499.0,649.0,649.0,649.0,499.0,23.0,649.0,23.0,0
DB금융투자,/img/sub/ico_doc.gif,2015/01/02,10만원,변경후,499.0,649.0,649.0,649.0,499.0,649.0,649.0,649.0,0
DB금융투자,/img/sub/ico_doc.gif,2015/01/02,10만원,변경율,0.0,0.0,0.0,0.0,0.0,27.21739,0.0,27.21739,0
아이엠증권,/img/sub/ico_hwp.gif,2011/12/01,10만원,변경전,498.0,498.0,248.0,498.0,498.0,498.0,248.0,498.0,0
아이엠증권,/img/sub/ico_hwp.gif,2012/05/02,10만원,변경후,497.0,497.0,247.0,497.0,497.0,497.0,247.0,497.0,유관기관수수료인하
아이엠증권,/img/sub/ico_hwp.gif,2012/05/02,10만원,변경율,-0.00201,-0.00201,-0.00403,-0.00201,-0.00201,-0.00201,-0.00403,-0.00201,0
부국증권,/img/sub/ico_hwp.gif,2009/03/19,10만원,변경전,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
부국증권,/img/sub/ico_hwp.gif,2011/11/18,10만원,변경후,445.0,95.0,95.0,150.0,445.0,95.0,95.0,150.0,0
부국증권,/img/sub/ico_hwp.gif,2011/11/18,10만원,변경율,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
한국투자증권,/img/sub/ico_pdf.gif,2020/06/12,10만원,변경전,0.0,0.0,247.0,0.0,0.0,0.0,0.0,0.0,0
한국투자증권,/img/sub/ico_pdf.gif,2021/11/25,10만원,변경후,497.0,497.0,247.0,497.0,0.0,14.0,247.0,14.0,코스피/코스닥/장외단주/코넥스
한국투자증권,/img/sub/ico_pdf.gif,2021/11/25,10만원,변경율,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
하나증권,/img/sub/ico_pdf.gif,2012/05/02,10만원,변경전,490.0,290.0,290.0,290.0,490.0,10.0,10.0,10.0,증권유관기관 수수료 인하(‘12.5.2)부분 반영
하나증권,/img/sub/ico_pdf.gif,2014/09/01,10만원,변경후,490.0,290.0,290.0,290.0,490.0,10.0,10.0,10.0,0
하나증권,/img/sub/ico_pdf.gif,2014/09/01,10만원,변경율,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
리딩투자증권,/img/sub/ico_pdf.gif,2021/09/27,10만원,변경후,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
키움증권,/img/sub/ico_pdf.gif,2020/09/16,10만원,변경전,290.0,10.0,140.0,10.0,290.0,10.0,140.0,10.0,유관기관수수료 20/09/16 ~ 20/12/31 한시적 면제
키움증권,/img/sub/ico_pdf.gif,2020/12/31,10만원,변경후,300.0,10.0,150.0,10.0,300.0,10.0,150.0,10.0,0
키움증권,/img/sub/ico_pdf.gif,2020/12/31,10만원,변경율,0.03448,0.0,0.07143,0.0,0.03448,0.0,0.07143,0.0,0
엘에스증권,/img/sub/ico_pdf.gif,2011/11/29,10만원,변경전,390.0,10.0,100.0,10.0,390.0,10.0,100.0,10.0,0
엘에스증권,/img/sub/ico_pdf.gif,2012/12/03,10만원,변경후,480.0,15.0,100.0,15.0,300.0,15.0,100.0,15.0,"거래금액 5천만원 미만 : 0.48%
거래금액 5천~3억 미만 : 0.45%
거래금액 3억이상        : 0.38%"
엘에스증권,/img/sub/ico_pdf.gif,2012/12/03,10만원,변경율,0.23077,0.5,0.0,0.5,-0.23077,0.5,0.0,0.5,0
도이치증권,/img/sub/ico_pdf.gif,2014/12/17,10만원,변경후,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
코리아에셋투자증권,/img/sub/ico_pdf.gif,2012/05/14,10만원,변경전,490.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,증권유관기관 수수료인하('12.5.2)부분 반영
코리아에셋투자증권,/img/sub/ico_pdf.gif,2019/04/10,10만원,변경후,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
코리아에셋투자증권,/img/sub/ico_pdf.gif,2019/04/10,10만원,변경율,-0.79592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
흥국증권,/img/sub/ico_pdf.gif,2012/01/03,10만원,변경전,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
흥국증권,/img/sub/ico_pdf.gif,2012/06/01,10만원,변경후,490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
흥국증권,/img/sub/ico_pdf.gif,2012/06/01,10만원,변경율,-0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
IBK투자증권,/img/sub/ico_hwp.gif,2011/11/18,10만원,변경전,500.0,100.0,250.0,120.0,500.0,100.0,250.0,120.0,0
IBK투자증권,/img/sub/ico_hwp.gif,2013/02/04,10만원,변경후,500.0,100.0,250.0,100.0,500.0,100.0,250.0,100.0,0
IBK투자증권,/img/sub/ico_hwp.gif,2013/02/04,10만원,변경율,0.0,0.0,0.0,-0.16667,0.0,0.0,0.0,-0.16667,0
케이프투자증권,/img/sub/ico_doc.gif,2013/07/01,10만원,변경전,500.0,500.0,0.0,90.0,500.0,15.0,0.0,15.0,연계신용(스탁론)약정계좌는 영업점 모바일 수수료 적용
케이프투자증권,/img/sub/ico_doc.gif,2015/04/20,10만원,변경후,500.0,500.0,0.0,90.0,500.0,15.0,0.0,15.0,"1. 고객등급 실버등급은 당일 종목당 매수/매도 매체별 합산 하여 50만원 미만시 종목당 500원 추가
2. 직전 3개월 거래월 평균 수수료+이자(신용/대출) 금액이 1만원 미만 계좌는 영업점 계좌 수수료율로 변경됨.(고객이 1만원 선취수수료 납부 시 납부월 무료수수료(유관기관 및 제비용 제외) 제공 및 은행지점계좌 수수료율 유지)"
케이프투자증권,/img/sub/ico_doc.gif,2015/04/20,10만원,변경율,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
DS투자증권,/img/sub/ico_hwp.gif,2012/05/21,10만원,변경전,499.0,1149.0,0.0,0.0,0.0,0.0,0.0,0.0,증권유관기관 수수료 인하(12.5.2)부분 반영
DS투자증권,/img/sub/ico_hwp.gif,2021/01/01,10만원,변경후,496.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
DS투자증권,/img/sub/ico_hwp.gif,2021/01/01,10만원,변경율,-0.00601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
다올투자증권,/img/sub/ico_pdf.gif,2017/01/02,10만원,변경전,490.0,10.0,150.0,10.0,490.0,10.0,150.0,10.0,0
다올투자증권,/img/sub/ico_pdf.gif,2018/03/12,10만원,변경후,490.0,10.0,150.0,10.0,490.0,10.0,150.0,10.0,0
다올투자증권,/img/sub/ico_pdf.gif,2018/03/12,10만원,변경율,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
카카오페이증권,/img/sub/ico_pdf.gif,2024/06/17,10만원,변경전,500.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0,0
카카오페이증권,/img/sub/ico_pdf.gif,2024/10/14,10만원,변경후,500.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0,0
카카오페이증권,/img/sub/ico_pdf.gif,2024/10/14,10만원,변경율,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
비엔피파리바증권,/img/sub/ico_pdf.gif,2018/06/29,10만원,변경전,390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,일괄적용 선택 시
비엔피파리바증권,/img/sub/ico_pdf.gif,2020/02/03,10만원,변경후,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
비엔피파리바증권,/img/sub/ico_pdf.gif,2020/02/03,10만원,변경율,-0.23077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
토스증권,/img/sub/ico_pdf.gif,2021/01/21,10만원,변경후,0.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0,0
비엔케이투자증권,/img/sub/ico_pdf.gif,2016/12/05,10만원,변경전,0.0,0.0,0.0,150.0,0.0,0.0,0.0,150.0,0
비엔케이투자증권,/img/sub/ico_pdf.gif,2020/08/24,10만원,변경후,449.0,1099.0,0.0,150.0,449.0,14.0,0.0,150.0,0
비엔케이투자증권,/img/sub/ico_pdf.gif,2020/08/24,10만원,변경율,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
유진투자증권,/img/sub/ico_xls.gif,2012/10/08,1억원,변경전,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15000.0,0
유진투자증권,/img/sub/ico_xls.gif,2020/06/17,1억원,변경후,500000.0,100000.0,200000.0,132000.0,500000.0,15000.0,200000.0,15000.0,0
유진투자증권,/img/sub/ico_xls.gif,2020/06/17,1억원,변경율,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SK증권,/img/sub/ico_xls.gif,2011/11/18,1억원,변경전,500000.0,120000.0,250000.0,50000.0,500000.0,15000.0,250000.0,50000.0,0
SK증권,/img/sub/ico_xls.gif,2015/06/01,1억원,변경후,500000.0,120000.0,250000.0,120000.0,500000.0,15000.0,250000.0,120000.0,증권통App 수수료율 변경
SK증권,/img/sub/ico_xls.gif,2015/06/01,1억원,변경율,0.0,0.0,0.0,1.4,0.0,0.0,0.0,1.4,0
유안타증권,/img/sub/ico_pdf.gif,2020/09/14,1억원,변경전,500000.0,65000.0,197000.0,100000.0,500000.0,14000.0,197000.0,100000.0,유관기관수수료 20/09/14 ~ 20/12/31 한시적 면제
유안타증권,/img/sub/ico_pdf.gif,2021/01/04,1억원,변경후,500000.0,65000.0,197000.0,100000.0,500000.0,14000.0,197000.0,100000.0,0
유안타증권,/img/sub/ico_pdf.gif,2021/01/04,1억원,변경율,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
신한투자증권,/img/sub/ico_pdf.gif,2014/05/02,1억원,변경전,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
신한투자증권,/img/sub/ico_pdf.gif,2015/04/01,1억원,변경후,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
신한투자증권,/img/sub/ico_pdf.gif,2015/04/01,1억원,변경율,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
유화증권,/img/sub/ico_pdf.gif,2011/11/18,1억원,변경전,450000.0,60000.0,250000.0,0.0,450000.0,60000.0,250000.0,0.0,0
유화증권,/img/sub/ico_pdf.gif,2012/05/02,1억원,변경후,449160.0,59160.0,249160.0,0.0,449160.0,59160.0,249160.0,0.0,증권유관기관 수수료인하('12.5.2)부분 반영
유화증권,/img/sub/ico_pdf.gif,2012/05/02,1억원,변경율,-0.00187,-0.014,-0.00336,0.0,-0.00187,-0.014,-0.00336,0.0,0
미래에셋증권,/img/sub/ico_pdf.gif,2014/03/24,1억원,변경전,497290.0,77290.0,197290.0,197290.0,497290.0,14100.0,197290.0,14100.0,0
미래에셋증권,/img/sub/ico_pdf.gif,2017/01/02,1억원,변경후,490000.0,140000.0,140000.0,140000.0,490000.0,14000.0,14000.0,14000.0,0
미래에셋증권,/img/sub/ico_pdf.gif,2017/01/02,1억원,변경율,-0.01466,0.81136,-0.29038,-0.29038,-0.01466,-0.00709,-0.92904,-0.00709,0
상상인증권,/img/sub/ico_pdf.gif,2020/04/23,1억원,변경후,490000.0,140000.0,200000.0,140000.0,490000.0,140000.0,200000.0,140000.0,0
대신증권,/img/sub/ico_pdf.gif,2020/09/15,1억원,변경전,468656.0,93656.0,193656.0,193656.0,468656.0,93656.0,193656.0,193656.0,유관기관수수료 한시적 면제에 따른 위탁수수료 변동사항으로 20/09/15 ~ 20/12/31 기간 내 시행
대신증권,/img/sub/ico_pdf.gif,2021/01/01,1억원,변경후,472296.0,97296.0,197296.0,197296.0,472296.0,97296.0,197296.0,197296.0,0
대신증권,/img/sub/ico_pdf.gif,2021/01/01,1억원,변경율,0.00777,0.03887,0.0188,0.0188,0.00777,0.03887,0.0188,0.0188,0
교보증권,/img/sub/ico_pdf.gif,2013/12/19,1억원,변경전,499160.0,99160.0,249160.0,149160.0,499160.0,99160.0,249160.0,14000.0,2013년 9월 30일 이후 은행개설 신규계좌의 SMART K 매매에 한함
교보증권,/img/sub/ico_pdf.gif,2021/09/01,1억원,변경후,499200.0,99200.0,249200.0,149200.0,499200.0,99200.0,249200.0,149200.0,0
교보증권,/img/sub/ico_pdf.gif,2021/09/01,1억원,변경율,8e-05,0.0004,0.00016,0.00027,8e-05,0.0004,0.00016,9.65714,0
NH투자증권,/img/sub/ico_pdf.gif,2020/06/10,1억원,변경후,497200.0,96664.0,197164.0,197164.0,497200.0,96664.0,197164.0,197164.0,NAMUH 10000
한양증권,/img/sub/ico_hwp.gif,2012/06/04,1억원,변경전,497300.0,87800.0,199200.0,149200.0,497300.0,87800.0,199200.0,149200.0,0
한양증권,/img/sub/ico_hwp.gif,2012/10/12,1억원,변경후,497300.0,87800.0,199200.0,100000.0,497300.0,87800.0,199200.0,100000.0,0
한양증권,/img/sub/ico_hwp.gif,2012/10/12,1억원,변경율,0.0,0.0,0.0,-0.32976,0.0,0.0,0.0,-0.32976,0
신영증권,/img/sub/ico_hwp.gif,2012/05/18,1억원,변경전,449164.0,99164.0,249164.0,99164.0,449164.0,99164.0,249164.0,14163.0,유관기관수수료인하
신영증권,/img/sub/ico_hwp.gif,2021/08/23,1억원,변경후,449164.0,99164.0,249164.0,99164.0,449164.0,99164.0,249164.0,99164.0,0
신영증권,/img/sub/ico_hwp.gif,2021/08/23,1억원,변경율,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.00162,0
삼성증권,/img/sub/ico_pdf.gif,2015/03/25,1억원,변경전,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
삼성증권,/img/sub/ico_pdf.gif,2021/10/01,1억원,변경후,497216.0,97216.0,214216.0,97216.0,497216.0,97216.0,214216.0,97216.0,0
삼성증권,/img/sub/ico_pdf.gif,2021/10/01,1억원,변경율,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
메리츠증권,/img/sub/ico_pdf.gif,2020/09/14,1억원,변경전,494492.0,84492.0,194492.0,84492.0,494492.0,84492.0,194492.0,84492.0,0
메리츠증권,/img/sub/ico_pdf.gif,2021/01/01,1억원,변경후,498132.0,88132.0,198132.0,88132.0,498132.0,88132.0,198132.0,88132.0,0
메리츠증권,/img/sub/ico_pdf.gif,2021/01/01,1억원,변경율,0.00736,0.04308,0.01872,0.04308,0.00736,0.04308,0.01872,0.04308,0
KB증권,/img/sub/ico_pdf.gif,2017/09/27,1억원,변경전,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
KB증권,/img/sub/ico_pdf.gif,2021/11/25,1억원,변경후,497300.0,77300.0,247300.0,197300.0,497300.0,15000.0,150000.0,120000.0,0
KB증권,/img/sub/ico_pdf.gif,2021/11/25,1억원,변경율,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
한화투자증권,/img/sub/ico_pdf.gif,2015/10/05,1억원,변경전,395000.0,11210.0,16210.0,11210.0,395000.0,11210.0,16210.0,11210.0,0
한화투자증권,/img/sub/ico_pdf.gif,2016/05/30,1억원,변경후,497500.0,87500.0,197500.0,150000.0,497500.0,87500.0,197500.0,150000.0,0
한화투자증권,/img/sub/ico_pdf.gif,2016/05/30,1억원,변경율,0.25949,6.80553,11.18384,12.38091,0.25949,6.80553,11.18384,12.38091,0
현대차증권,/img/sub/ico_xlsx.gif,2011/11/07,1억원,변경전,498100.0,78100.0,248100.0,198100.0,498100.0,78100.0,248100.0,198100.0,0
현대차증권,/img/sub/ico_xlsx.gif,2013/07/01,1억원,변경후,498100.0,78100.0,248100.0,198100.0,0.0,0.0,0.0,0.0,* 코넥스 : 거래소 코스닥시장과 동일하게 적용(2013.07.01부)
현대차증권,/img/sub/ico_xlsx.gif,2013/07/01,1억원,변경율,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
DB금융투자,/img/sub/ico_doc.gif,2014/06/02,1억원,변경전,499164.0,99164.0,99164.0,99164.0,499164.0,23164.0,99164.0,23164.0,0
DB금융투자,/img/sub/ico_doc.gif,2015/01/02,1억원,변경후,499164.0,99164.0,99164.0,99164.0,499164.0,99164.0,99164.0,99164.0,0
DB금융투자,/img/sub/ico_doc.gif,2015/01/02,1억원,변경율,0.0,0.0,0.0,0.0,0.0,3.28095,0.0,3.28095,0
아이엠증권,/img/sub/ico_hwp.gif,2011/12/01,1억원,변경전,498000.0,98000.0,248000.0,98000.0,498000.0,98000.0,248000.0,98000.0,0
아이엠증권,/img/sub/ico_hwp.gif,2012/05/02,1억원,변경후,497200.0,97200.0,247200.0,97200.0,497200.0,97200.0,247200.0,97200.0,유관수수료인하
아이엠증권,/img/sub/ico_hwp.gif,2012/05/02,1억원,변경율,-0.00161,-0.00816,-0.00323,-0.00816,-0.00161,-0.00816,-0.00323,-0.00816,0
부국증권,/img/sub/ico_hwp.gif,2011/11/18,1억원,변경후,445377.0,95377.0,195377.0,150000.0,445377.0,95377.0,195377.0,150000.0,0
한국투자증권,/img/sub/ico_pdf.gif,2020/06/12,1억원,변경전,0.0,0.0,247149.0,0.0,0.0,0.0,0.0,0.0,0
한국투자증권,/img/sub/ico_pdf.gif,2021/11/25,1억원,변경후,497149.0,97149.0,247149.0,97149.0,0.0,14053.0,247149.0,14053.0,코스피/코스닥/장외단주/코넥스
한국투자증권,/img/sub/ico_pdf.gif,2021/11/25,1억원,변경율,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
하나증권,/img/sub/ico_pdf.gif,2014/09/01,1억원,변경전,497200.0,97200.0,97200.0,97200.0,497200.0,14100.0,14100.0,14100.0,0
하나증권,/img/sub/ico_pdf.gif,2015/12/10,1억원,변경후,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
하나증권,/img/sub/ico_pdf.gif,2015/12/10,1억원,변경율,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
리딩투자증권,/img/sub/ico_pdf.gif,2012/05/29,1억원,변경전,500000.0,24000.0,140000.0,0.0,500000.0,24000.0,140000.0,0.0,유관기관수수료 인하(‘12.5.2) 반영
리딩투자증권,/img/sub/ico_pdf.gif,2014/07/14,1억원,변경후,500000.0,24000.0,140000.0,0.0,500000.0,24000.0,140000.0,0.0,0
리딩투자증권,/img/sub/ico_pdf.gif,2014/07/14,1억원,변경율,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
키움증권,/img/sub/ico_pdf.gif,2020/09/16,1억원,변경전,296360.0,11360.0,146360.0,11360.0,296360.0,11360.0,146360.0,11360.0,유관기관수수료 20/09/16 ~ 20/12/31 한시적 면제
키움증권,/img/sub/ico_pdf.gif,2020/12/31,1억원,변경후,300000.0,15000.0,150000.0,15000.0,300000.0,15000.0,150000.0,15000.0,0
키움증권,/img/sub/ico_pdf.gif,2020/12/31,1억원,변경율,0.01228,0.32042,0.02487,0.32042,0.01228,0.32042,0.02487,0.32042,0
엘에스증권,/img/sub/ico_pdf.gif,2011/11/29,1억원,변경전,350000.0,15000.0,100000.0,15000.0,350000.0,15000.0,100000.0,15000.0,0
엘에스증권,/img/sub/ico_pdf.gif,2012/12/03,1억원,변경후,450000.0,15000.0,100000.0,15000.0,300000.0,15000.0,100000.0,15000.0,"거래금액 5천만원 미만 : 0.48%
거래금액 5천~3억 미만 : 0.45%
거래금액 3억이상        : 0.38%"
엘에스증권,/img/sub/ico_pdf.gif,2012/12/03,1억원,변경율,0.28571,0.0,0.0,0.0,-0.14286,0.0,0.0,0.0,0
도이치증권,/img/sub/ico_pdf.gif,2014/12/17,1억원,변경후,400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
코리아에셋투자증권,/img/sub/ico_pdf.gif,2012/05/14,1억원,변경전,98000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,증권유관기관 수수료인하('12.5.2)부분 반영
코리아에셋투자증권,/img/sub/ico_pdf.gif,2019/04/10,1억원,변경후,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
코리아에셋투자증권,/img/sub/ico_pdf.gif,2019/04/10,1억원,변경율,0.02041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
흥국증권,/img/sub/ico_pdf.gif,2012/01/03,1억원,변경전,500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
흥국증권,/img/sub/ico_pdf.gif,2012/06/01,1억원,변경후,490000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
