회사명,"수수료
부과기준",기준일자,거래금액,구분,오프라인,HTS,ARS,스마트폰,오프라인.1,HTS.1,ARS.1,스마트폰.1,비고
교보증권,/img/sub/ico_pdf.gif,2013/12/19,100만원,변경전,4990.0,1990.0,2490.0,1990.0,4990.0,1990.0,2490.0,640.0,2013년 9월 30일 이후 은행개설 신규계좌의 SMART K 매매에 한함
NH투자증권,/img/sub/ico_pdf.gif,2020/06/10,100만원,변경후,4972.0,2442.0,2472.0,2472.0,4972.0,2442.0,2472.0,2472.0,NAMUH 100
한양증권,/img/sub/ico_hwp.gif,2021/09/06,100만원,변경후,4973.0,2173.0,0.0,1000.0,4973.0,2173.0,0.0,1000.0,ARS 서비스종료로 증권사지점개설계좌 수수료 기준삭제
신영증권,/img/sub/ico_hwp.gif,2012/05/18,100만원,변경전,4492.0,992.0,2492.0,992.0,4492.0,992.0,2492.0,141.0,유관기관수수료인하
아이엠증권,/img/sub/ico_hwp.gif,2012/05/02,100만원,변경후,4972.0,2372.0,2472.0,2372.0,4972.0,2372.0,2472.0,2372.0,유관수수료인하
하나증권,/img/sub/ico_pdf.gif,2012/05/02,100만원,변경전,4970.0,2970.0,2970.0,2970.0,4970.0,140.0,140.0,140.0,증권유관기관 수수료 인하(‘12.5.2)부분 반영
키움증권,/img/sub/ico_pdf.gif,2020/09/16,100만원,변경전,2960.0,110.0,1460.0,110.0,2960.0,110.0,1460.0,110.0,유관기관수수료 20/09/16 ~ 20/12/31 한시적 면제
엘에스증권,/img/sub/ico_pdf.gif,2012/12/03,100만원,변경후,4800.0,150.0,1000.0,150.0,3000.0,150.0,1000.0,150.0,"거래금액 5천만원 미만 : 0.48%
거래금액 5천~3억 미만 : 0.45%
거래금액 3억이상        : 0.38%"
SK증권,/img/sub/ico_xls.gif,2015/06/01,500만원,변경후,25000.0,7500.0,12500.0,7500.0,25000.0,750.0,12500.0,7500.0,증권통App 수수료율 변경
유안타증권,/img/sub/ico_pdf.gif,2020/09/14,500만원,변경전,25000.0,3250.0,9850.0,5000.0,25000.0,700.0,9850.0,5000.0,유관기관수수료 20/09/14 ~ 20/12/31 한시적 면제
대신증권,/img/sub/ico_pdf.gif,2020/09/15,500만원,변경전,24683.0,8583.0,9683.0,9683.0,24683.0,8583.0,9683.0,9683.0,유관기관수수료 한시적 면제에 따른 위탁수수료 변동사항으로 20/09/15 ~ 20/12/31 기간 내 시행
교보증권,/img/sub/ico_pdf.gif,2013/12/19,500만원,변경전,24950.0,6950.0,12450.0,7450.0,24950.0,6950.0,12450.0,700.0,2013년 9월 30일 이후 은행개설 신규계좌의 SMART K 매매에 한함
NH투자증권,/img/sub/ico_pdf.gif,2020/06/10,500만원,변경후,24860.0,8908.0,9858.0,9858.0,24860.0,8908.0,9858.0,9858.0,NAMUH 500
신영증권,/img/sub/ico_hwp.gif,2012/05/18,500만원,변경전,22458.0,4958.0,12458.0,4958.0,22458.0,4958.0,12458.0,708.0,유관기관수수료인하
아이엠증권,/img/sub/ico_hwp.gif,2012/05/02,500만원,변경후,24860.0,4860.0,12360.0,4860.0,24860.0,4860.0,12360.0,4860.0,유관수수료인하
하나증권,/img/sub/ico_pdf.gif,2012/05/02,500만원,변경전,24860.0,6860.0,6860.0,6860.0,24860.0,700.0,700.0,700.0,증권유관기관 수수료 인하(‘12.5.2)부분 반영
키움증권,/img/sub/ico_pdf.gif,2020/09/16,500만원,변경전,14810.0,560.0,7310.0,560.0,14810.0,560.0,7310.0,560.0,유관기관수수료 20/09/16 ~ 20/12/31 한시적 면제
엘에스증권,/img/sub/ico_pdf.gif,2012/12/03,500만원,변경후,24000.0,750.0,5000.0,750.0,15000.0,750.0,5000.0,750.0,"거래금액 5천만원 미만 : 0.48%
거래금액 5천~3억 미만 : 0.45%
거래금액 3억이상        : 0.38%"
